A_SLOT_ID,A_CHIP_ID,A_CHIP_TYPE,A_CORE_ID,A_CORE_TYPE,A_CORE_LANE,A_PHYSICAL_TX_LANE,A_PHYSICAL_RX_LANE,A_TX_POLARITY_SWAP,A_RX_POLARITY_SWAP,Z_SLOT_ID,Z_CHIP_ID,Z_CHIP_TYPE,Z_CORE_ID,Z_CORE_TYPE,Z_CORE_LANE,Z_PHYSICAL_TX_LANE,Z_PHYSICAL_RX_LANE,Z_TX_POLARITY_SWAP,Z_RX_POLARITY_SWAP
1,1,NPU,0,TH6_NIF,0,1,4,Y,Y,1,1,XPHY,0,AGERA3_SYSTEM,8,1,1,N,Y
1,1,NPU,0,TH6_NIF,1,3,5,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,9,3,3,N,Y
1,1,NPU,0,TH6_NIF,2,0,6,Y,Y,1,1,XPHY,0,AGERA3_SYSTEM,10,5,5,N,Y
1,1,NPU,0,TH6_NIF,3,2,7,N,N,1,1,XPHY,0,AGERA3_SYSTEM,11,7,7,N,Y
1,1,NPU,0,TH6_NIF,4,7,1,Y,N,1,1,XPHY,0,AGERA3_SYSTEM,12,0,0,N,N
1,1,NPU,0,TH6_NIF,5,5,3,Y,N,1,1,XPHY,0,AGERA3_SYSTEM,13,2,2,N,N
1,1,NPU,0,TH6_NIF,6,6,0,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,14,4,4,N,N
1,1,NPU,0,TH6_NIF,7,4,2,N,Y,1,1,XPHY,0,AGERA3_SYSTEM,15,6,6,N,N
1,1,NPU,1,TH6_NIF,0,1,4,Y,Y,1,2,XPHY,0,AGERA3_SYSTEM,24,1,1,N,Y
1,1,NPU,1,TH6_NIF,1,3,5,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,25,3,3,N,Y
1,1,NPU,1,TH6_NIF,2,0,6,Y,Y,1,2,XPHY,0,AGERA3_SYSTEM,26,5,5,N,Y
1,1,NPU,1,TH6_NIF,3,2,7,N,N,1,2,XPHY,0,AGERA3_SYSTEM,27,7,7,N,Y
1,1,NPU,1,TH6_NIF,4,7,1,Y,N,1,2,XPHY,0,AGERA3_SYSTEM,28,0,0,N,N
1,1,NPU,1,TH6_NIF,5,5,3,Y,N,1,2,XPHY,0,AGERA3_SYSTEM,29,2,2,N,N
1,1,NPU,1,TH6_NIF,6,6,0,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,30,4,4,N,N
1,1,NPU,1,TH6_NIF,7,4,2,N,Y,1,2,XPHY,0,AGERA3_SYSTEM,31,6,6,N,N
1,1,NPU,2,TH6_NIF,0,1,4,Y,Y,1,3,XPHY,0,AGERA3_SYSTEM,40,1,1,N,Y
1,1,NPU,2,TH6_NIF,1,3,5,N,Y,1,3,XPHY,0,AGERA3_SYSTEM,41,3,3,N,Y
1,1,NPU,2,TH6_NIF,2,0,6,Y,Y,1,3,XPHY,0,AGERA3_SYSTEM,42,5,5,N,Y
1,1,NPU,2,TH6_NIF,3,2,7,N,N,1,3,XPHY,0,AGERA3_SYSTEM,43,7,7,N,Y
1,1,NPU,2,TH6_NIF,4,7,1,Y,N,1,3,XPHY,0,AGERA3_SYSTEM,44,0,0,N,N
1,1,NPU,2,TH6_NIF,5,5,3,Y,N,1,3,XPHY,0,AGERA3_SYSTEM,45,2,2,N,N
1,1,NPU,2,TH6_NIF,6,6,0,N,Y,1,3,XPHY,0,AGERA3_SYSTEM,46,4,4,N,N
1,1,NPU,2,TH6_NIF,7,4,2,N,Y,1,3,XPHY,0,AGERA3_SYSTEM,47,6,6,N,N
1,1,NPU,3,TH6_NIF,0,1,4,N,Y,1,4,XPHY,0,AGERA3_SYSTEM,56,1,1,N,Y
1,1,NPU,3,TH6_NIF,1,3,5,N,Y,1,4,XPHY,0,AGERA3_SYSTEM,57,3,3,N,Y
1,1,NPU,3,TH6_NIF,2,0,6,Y,Y,1,4,XPHY,0,AGERA3_SYSTEM,58,5,5,N,Y
1,1,NPU,3,TH6_NIF,3,2,7,N,N,1,4,XPHY,0,AGERA3_SYSTEM,59,7,7,N,Y
1,1,NPU,3,TH6_NIF,4,7,1,Y,N,1,4,XPHY,0,AGERA3_SYSTEM,60,0,0,N,N
1,1,NPU,3,TH6_NIF,5,5,3,Y,N,1,4,XPHY,0,AGERA3_SYSTEM,61,2,2,N,N
1,1,NPU,3,TH6_NIF,6,6,0,N,Y,1,4,XPHY,0,AGERA3_SYSTEM,62,4,4,N,N
1,1,NPU,3,TH6_NIF,7,4,2,N,Y,1,4,XPHY,0,AGERA3_SYSTEM,63,6,6,N,N
1,1,NPU,7,TH6_NIF,0,3,5,Y,Y,1,8,XPHY,0,AGERA3_SYSTEM,120,1,1,N,Y
1,1,NPU,7,TH6_NIF,1,2,6,N,N,1,8,XPHY,0,AGERA3_SYSTEM,121,3,3,N,Y
1,1,NPU,7,TH6_NIF,2,0,4,N,N,1,8,XPHY,0,AGERA3_SYSTEM,122,5,5,N,Y
1,1,NPU,7,TH6_NIF,3,1,7,N,N,1,8,XPHY,0,AGERA3_SYSTEM,123,7,7,N,Y
1,1,NPU,7,TH6_NIF,4,5,0,N,N,1,8,XPHY,0,AGERA3_SYSTEM,124,0,0,N,N
1,1,NPU,7,TH6_NIF,5,6,1,N,N,1,8,XPHY,0,AGERA3_SYSTEM,125,2,2,N,N
1,1,NPU,7,TH6_NIF,6,4,2,Y,Y,1,8,XPHY,0,AGERA3_SYSTEM,126,4,4,N,N
1,1,NPU,7,TH6_NIF,7,7,3,Y,Y,1,8,XPHY,0,AGERA3_SYSTEM,127,6,6,N,N
1,1,NPU,6,TH6_NIF,0,3,5,Y,Y,1,7,XPHY,0,AGERA3_SYSTEM,104,1,1,N,Y
1,1,NPU,6,TH6_NIF,1,2,6,N,N,1,7,XPHY,0,AGERA3_SYSTEM,105,3,3,N,Y
1,1,NPU,6,TH6_NIF,2,0,4,N,N,1,7,XPHY,0,AGERA3_SYSTEM,106,5,5,N,Y
1,1,NPU,6,TH6_NIF,3,1,7,N,N,1,7,XPHY,0,AGERA3_SYSTEM,107,7,7,N,Y
1,1,NPU,6,TH6_NIF,4,5,0,N,N,1,7,XPHY,0,AGERA3_SYSTEM,108,0,0,N,N
1,1,NPU,6,TH6_NIF,5,6,1,N,N,1,7,XPHY,0,AGERA3_SYSTEM,109,2,2,N,N
1,1,NPU,6,TH6_NIF,6,4,2,Y,Y,1,7,XPHY,0,AGERA3_SYSTEM,110,4,4,N,N
1,1,NPU,6,TH6_NIF,7,7,3,Y,Y,1,7,XPHY,0,AGERA3_SYSTEM,111,6,6,N,N
1,1,NPU,5,TH6_NIF,0,3,5,Y,Y,1,6,XPHY,0,AGERA3_SYSTEM,88,1,1,N,Y
1,1,NPU,5,TH6_NIF,1,2,6,N,N,1,6,XPHY,0,AGERA3_SYSTEM,89,3,3,N,Y
1,1,NPU,5,TH6_NIF,2,0,4,N,N,1,6,XPHY,0,AGERA3_SYSTEM,90,5,5,N,Y
1,1,NPU,5,TH6_NIF,3,1,7,N,N,1,6,XPHY,0,AGERA3_SYSTEM,91,7,7,N,Y
1,1,NPU,5,TH6_NIF,4,5,0,N,N,1,6,XPHY,0,AGERA3_SYSTEM,92,0,0,N,N
1,1,NPU,5,TH6_NIF,5,6,1,N,N,1,6,XPHY,0,AGERA3_SYSTEM,93,2,2,N,N
1,1,NPU,5,TH6_NIF,6,4,2,Y,Y,1,6,XPHY,0,AGERA3_SYSTEM,94,4,4,N,N
1,1,NPU,5,TH6_NIF,7,7,3,Y,Y,1,6,XPHY,0,AGERA3_SYSTEM,95,6,6,N,N
1,1,NPU,4,TH6_NIF,0,3,4,N,N,1,5,XPHY,0,AGERA3_SYSTEM,72,1,1,N,Y
1,1,NPU,4,TH6_NIF,1,0,7,N,N,1,5,XPHY,0,AGERA3_SYSTEM,73,3,3,N,Y
1,1,NPU,4,TH6_NIF,2,2,5,Y,N,1,5,XPHY,0,AGERA3_SYSTEM,74,5,5,N,Y
1,1,NPU,4,TH6_NIF,3,1,6,Y,Y,1,5,XPHY,0,AGERA3_SYSTEM,75,7,7,N,Y
1,1,NPU,4,TH6_NIF,4,6,0,N,N,1,5,XPHY,0,AGERA3_SYSTEM,76,0,0,N,N
1,1,NPU,4,TH6_NIF,5,5,3,N,Y,1,5,XPHY,0,AGERA3_SYSTEM,77,2,2,N,N
1,1,NPU,4,TH6_NIF,6,7,1,Y,Y,1,5,XPHY,0,AGERA3_SYSTEM,78,4,4,N,N
1,1,NPU,4,TH6_NIF,7,4,2,Y,Y,1,5,XPHY,0,AGERA3_SYSTEM,79,6,6,N,N
1,1,NPU,8,TH6_NIF,0,0,7,N,Y,1,9,XPHY,0,AGERA3_SYSTEM,136,1,1,N,Y
1,1,NPU,8,TH6_NIF,1,3,4,N,N,1,9,XPHY,0,AGERA3_SYSTEM,137,3,3,N,Y
1,1,NPU,8,TH6_NIF,2,1,6,Y,Y,1,9,XPHY,0,AGERA3_SYSTEM,138,5,5,N,Y
1,1,NPU,8,TH6_NIF,3,2,5,Y,N,1,9,XPHY,0,AGERA3_SYSTEM,139,7,7,N,Y
1,1,NPU,8,TH6_NIF,4,5,3,N,N,1,9,XPHY,0,AGERA3_SYSTEM,140,0,0,N,N
1,1,NPU,8,TH6_NIF,5,6,0,N,N,1,9,XPHY,0,AGERA3_SYSTEM,141,2,2,N,N
1,1,NPU,8,TH6_NIF,6,4,2,Y,Y,1,9,XPHY,0,AGERA3_SYSTEM,142,4,4,N,N
1,1,NPU,8,TH6_NIF,7,7,1,Y,Y,1,9,XPHY,0,AGERA3_SYSTEM,143,6,6,N,N
1,1,NPU,9,TH6_NIF,0,3,7,N,N,1,10,XPHY,0,AGERA3_SYSTEM,152,1,1,N,Y
1,1,NPU,9,TH6_NIF,1,2,5,Y,Y,1,10,XPHY,0,AGERA3_SYSTEM,153,3,3,N,Y
1,1,NPU,9,TH6_NIF,2,1,6,N,N,1,10,XPHY,0,AGERA3_SYSTEM,154,5,5,N,Y
1,1,NPU,9,TH6_NIF,3,0,4,Y,N,1,10,XPHY,0,AGERA3_SYSTEM,155,7,7,N,Y
1,1,NPU,9,TH6_NIF,4,6,0,N,Y,1,10,XPHY,0,AGERA3_SYSTEM,156,0,0,N,N
1,1,NPU,9,TH6_NIF,5,5,2,N,Y,1,10,XPHY,0,AGERA3_SYSTEM,157,2,2,N,N
1,1,NPU,9,TH6_NIF,6,7,1,Y,N,1,10,XPHY,0,AGERA3_SYSTEM,158,4,4,N,N
1,1,NPU,9,TH6_NIF,7,4,3,Y,N,1,10,XPHY,0,AGERA3_SYSTEM,159,6,6,N,N
1,1,NPU,10,TH6_NIF,0,3,7,N,N,1,11,XPHY,0,AGERA3_SYSTEM,168,1,1,N,Y
1,1,NPU,10,TH6_NIF,1,2,5,Y,Y,1,11,XPHY,0,AGERA3_SYSTEM,169,3,3,N,Y
1,1,NPU,10,TH6_NIF,2,1,6,N,N,1,11,XPHY,0,AGERA3_SYSTEM,170,5,5,N,Y
1,1,NPU,10,TH6_NIF,3,0,4,Y,N,1,11,XPHY,0,AGERA3_SYSTEM,171,7,7,N,Y
1,1,NPU,10,TH6_NIF,4,6,0,N,Y,1,11,XPHY,0,AGERA3_SYSTEM,172,0,0,N,N
1,1,NPU,10,TH6_NIF,5,5,2,N,Y,1,11,XPHY,0,AGERA3_SYSTEM,173,2,2,N,N
1,1,NPU,10,TH6_NIF,6,7,1,Y,N,1,11,XPHY,0,AGERA3_SYSTEM,174,4,4,N,N
1,1,NPU,10,TH6_NIF,7,4,3,Y,N,1,11,XPHY,0,AGERA3_SYSTEM,175,6,6,N,N
1,1,NPU,11,TH6_NIF,0,3,7,N,N,1,12,XPHY,0,AGERA3_SYSTEM,184,1,1,N,Y
1,1,NPU,11,TH6_NIF,1,2,5,Y,Y,1,12,XPHY,0,AGERA3_SYSTEM,185,3,3,N,Y
1,1,NPU,11,TH6_NIF,2,1,6,N,N,1,12,XPHY,0,AGERA3_SYSTEM,186,5,5,N,Y
1,1,NPU,11,TH6_NIF,3,0,4,Y,N,1,12,XPHY,0,AGERA3_SYSTEM,187,7,7,N,Y
1,1,NPU,11,TH6_NIF,4,6,0,N,Y,1,12,XPHY,0,AGERA3_SYSTEM,188,0,0,N,N
1,1,NPU,11,TH6_NIF,5,5,2,N,Y,1,12,XPHY,0,AGERA3_SYSTEM,189,2,2,N,N
1,1,NPU,11,TH6_NIF,6,7,1,Y,N,1,12,XPHY,0,AGERA3_SYSTEM,190,4,4,N,N
1,1,NPU,11,TH6_NIF,7,4,3,Y,N,1,12,XPHY,0,AGERA3_SYSTEM,191,6,6,N,N
1,1,NPU,15,TH6_NIF,0,3,5,Y,Y,1,16,XPHY,0,AGERA3_SYSTEM,248,1,1,N,Y
1,1,NPU,15,TH6_NIF,1,2,6,N,N,1,16,XPHY,0,AGERA3_SYSTEM,249,3,3,N,Y
1,1,NPU,15,TH6_NIF,2,0,4,N,N,1,16,XPHY,0,AGERA3_SYSTEM,250,5,5,N,Y
1,1,NPU,15,TH6_NIF,3,1,7,Y,N,1,16,XPHY,0,AGERA3_SYSTEM,251,7,7,N,Y
1,1,NPU,15,TH6_NIF,4,5,0,N,N,1,16,XPHY,0,AGERA3_SYSTEM,252,0,0,N,N
1,1,NPU,15,TH6_NIF,5,6,1,N,N,1,16,XPHY,0,AGERA3_SYSTEM,253,2,2,N,N
1,1,NPU,15,TH6_NIF,6,4,2,Y,Y,1,16,XPHY,0,AGERA3_SYSTEM,254,4,4,N,N
1,1,NPU,15,TH6_NIF,7,7,3,Y,Y,1,16,XPHY,0,AGERA3_SYSTEM,255,6,6,N,N
1,1,NPU,14,TH6_NIF,0,3,5,Y,Y,1,15,XPHY,0,AGERA3_SYSTEM,232,1,1,N,Y
1,1,NPU,14,TH6_NIF,1,2,6,N,N,1,15,XPHY,0,AGERA3_SYSTEM,233,3,3,N,Y
1,1,NPU,14,TH6_NIF,2,0,4,N,N,1,15,XPHY,0,AGERA3_SYSTEM,234,5,5,N,Y
1,1,NPU,14,TH6_NIF,3,1,7,Y,N,1,15,XPHY,0,AGERA3_SYSTEM,235,7,7,N,Y
1,1,NPU,14,TH6_NIF,4,5,0,N,N,1,15,XPHY,0,AGERA3_SYSTEM,236,0,0,N,N
1,1,NPU,14,TH6_NIF,5,6,1,N,N,1,15,XPHY,0,AGERA3_SYSTEM,237,2,2,N,N
1,1,NPU,14,TH6_NIF,6,4,2,Y,Y,1,15,XPHY,0,AGERA3_SYSTEM,238,4,4,N,N
1,1,NPU,14,TH6_NIF,7,7,3,Y,Y,1,15,XPHY,0,AGERA3_SYSTEM,239,6,6,N,N
1,1,NPU,13,TH6_NIF,0,3,5,Y,Y,1,14,XPHY,0,AGERA3_SYSTEM,216,1,1,N,Y
1,1,NPU,13,TH6_NIF,1,2,6,N,N,1,14,XPHY,0,AGERA3_SYSTEM,217,3,3,N,Y
1,1,NPU,13,TH6_NIF,2,0,4,N,N,1,14,XPHY,0,AGERA3_SYSTEM,218,5,5,N,Y
1,1,NPU,13,TH6_NIF,3,1,7,Y,N,1,14,XPHY,0,AGERA3_SYSTEM,219,7,7,N,Y
1,1,NPU,13,TH6_NIF,4,5,0,N,N,1,14,XPHY,0,AGERA3_SYSTEM,220,0,0,N,N
1,1,NPU,13,TH6_NIF,5,6,1,N,N,1,14,XPHY,0,AGERA3_SYSTEM,221,2,2,N,N
1,1,NPU,13,TH6_NIF,6,4,2,Y,Y,1,14,XPHY,0,AGERA3_SYSTEM,222,4,4,N,N
1,1,NPU,13,TH6_NIF,7,7,3,Y,Y,1,14,XPHY,0,AGERA3_SYSTEM,223,6,6,N,N
1,1,NPU,12,TH6_NIF,0,3,5,Y,Y,1,13,XPHY,0,AGERA3_SYSTEM,200,1,1,N,Y
1,1,NPU,12,TH6_NIF,1,2,6,N,N,1,13,XPHY,0,AGERA3_SYSTEM,201,3,3,N,Y
1,1,NPU,12,TH6_NIF,2,0,4,N,N,1,13,XPHY,0,AGERA3_SYSTEM,202,5,5,N,Y
1,1,NPU,12,TH6_NIF,3,1,7,Y,N,1,13,XPHY,0,AGERA3_SYSTEM,203,7,7,N,Y
1,1,NPU,12,TH6_NIF,4,5,0,N,N,1,13,XPHY,0,AGERA3_SYSTEM,204,0,0,N,N
1,1,NPU,12,TH6_NIF,5,6,1,N,N,1,13,XPHY,0,AGERA3_SYSTEM,205,2,2,N,N
1,1,NPU,12,TH6_NIF,6,4,2,Y,Y,1,13,XPHY,0,AGERA3_SYSTEM,206,4,4,N,N
1,1,NPU,12,TH6_NIF,7,7,3,Y,Y,1,13,XPHY,0,AGERA3_SYSTEM,207,6,6,N,N
1,1,NPU,16,TH6_NIF,0,3,7,N,N,1,17,XPHY,0,AGERA3_SYSTEM,264,1,1,N,Y
1,1,NPU,16,TH6_NIF,1,2,5,Y,Y,1,17,XPHY,0,AGERA3_SYSTEM,265,3,3,N,Y
1,1,NPU,16,TH6_NIF,2,1,6,N,N,1,17,XPHY,0,AGERA3_SYSTEM,266,5,5,N,Y
1,1,NPU,16,TH6_NIF,3,0,4,Y,N,1,17,XPHY,0,AGERA3_SYSTEM,267,7,7,N,Y
1,1,NPU,16,TH6_NIF,4,6,0,N,Y,1,17,XPHY,0,AGERA3_SYSTEM,268,0,0,N,N
1,1,NPU,16,TH6_NIF,5,5,2,N,Y,1,17,XPHY,0,AGERA3_SYSTEM,269,2,2,N,N
1,1,NPU,16,TH6_NIF,6,7,1,Y,N,1,17,XPHY,0,AGERA3_SYSTEM,270,4,4,N,N
1,1,NPU,16,TH6_NIF,7,4,3,Y,N,1,17,XPHY,0,AGERA3_SYSTEM,271,6,6,N,N
1,1,NPU,17,TH6_NIF,0,3,7,N,N,1,18,XPHY,0,AGERA3_SYSTEM,280,1,1,N,Y
1,1,NPU,17,TH6_NIF,1,2,5,Y,Y,1,18,XPHY,0,AGERA3_SYSTEM,281,3,3,N,Y
1,1,NPU,17,TH6_NIF,2,1,6,N,N,1,18,XPHY,0,AGERA3_SYSTEM,282,5,5,N,Y
1,1,NPU,17,TH6_NIF,3,0,4,Y,N,1,18,XPHY,0,AGERA3_SYSTEM,283,7,7,N,Y
1,1,NPU,17,TH6_NIF,4,6,0,N,Y,1,18,XPHY,0,AGERA3_SYSTEM,284,0,0,N,N
1,1,NPU,17,TH6_NIF,5,5,2,N,Y,1,18,XPHY,0,AGERA3_SYSTEM,285,2,2,N,N
1,1,NPU,17,TH6_NIF,6,7,1,Y,N,1,18,XPHY,0,AGERA3_SYSTEM,286,4,4,N,N
1,1,NPU,17,TH6_NIF,7,4,3,Y,N,1,18,XPHY,0,AGERA3_SYSTEM,287,6,6,N,N
1,1,NPU,18,TH6_NIF,0,3,7,N,N,1,19,XPHY,0,AGERA3_SYSTEM,296,1,1,N,Y
1,1,NPU,18,TH6_NIF,1,2,5,Y,Y,1,19,XPHY,0,AGERA3_SYSTEM,297,3,3,N,Y
1,1,NPU,18,TH6_NIF,2,1,6,N,N,1,19,XPHY,0,AGERA3_SYSTEM,298,5,5,N,Y
1,1,NPU,18,TH6_NIF,3,0,4,Y,N,1,19,XPHY,0,AGERA3_SYSTEM,299,7,7,N,Y
1,1,NPU,18,TH6_NIF,4,6,0,N,Y,1,19,XPHY,0,AGERA3_SYSTEM,300,0,0,N,N
1,1,NPU,18,TH6_NIF,5,5,2,N,Y,1,19,XPHY,0,AGERA3_SYSTEM,301,2,2,N,N
1,1,NPU,18,TH6_NIF,6,7,1,Y,N,1,19,XPHY,0,AGERA3_SYSTEM,302,4,4,N,N
1,1,NPU,18,TH6_NIF,7,4,3,Y,N,1,19,XPHY,0,AGERA3_SYSTEM,303,6,6,N,N
1,1,NPU,19,TH6_NIF,0,3,7,N,N,1,20,XPHY,0,AGERA3_SYSTEM,312,1,1,N,Y
1,1,NPU,19,TH6_NIF,1,2,5,Y,Y,1,20,XPHY,0,AGERA3_SYSTEM,313,3,3,N,Y
1,1,NPU,19,TH6_NIF,2,1,6,N,N,1,20,XPHY,0,AGERA3_SYSTEM,314,5,5,N,Y
1,1,NPU,19,TH6_NIF,3,0,4,Y,N,1,20,XPHY,0,AGERA3_SYSTEM,315,7,7,N,Y
1,1,NPU,19,TH6_NIF,4,6,0,N,Y,1,20,XPHY,0,AGERA3_SYSTEM,316,0,0,N,N
1,1,NPU,19,TH6_NIF,5,5,2,N,Y,1,20,XPHY,0,AGERA3_SYSTEM,317,2,2,N,N
1,1,NPU,19,TH6_NIF,6,7,1,Y,N,1,20,XPHY,0,AGERA3_SYSTEM,318,4,4,N,N
1,1,NPU,19,TH6_NIF,7,4,3,Y,N,1,20,XPHY,0,AGERA3_SYSTEM,319,6,6,N,N
1,1,NPU,23,TH6_NIF,0,3,5,Y,Y,1,24,XPHY,0,AGERA3_SYSTEM,376,1,1,N,Y
1,1,NPU,23,TH6_NIF,1,2,6,N,N,1,24,XPHY,0,AGERA3_SYSTEM,377,3,3,N,Y
1,1,NPU,23,TH6_NIF,2,0,4,N,N,1,24,XPHY,0,AGERA3_SYSTEM,378,5,5,N,Y
1,1,NPU,23,TH6_NIF,3,1,7,Y,N,1,24,XPHY,0,AGERA3_SYSTEM,379,7,7,N,Y
1,1,NPU,23,TH6_NIF,4,5,0,N,N,1,24,XPHY,0,AGERA3_SYSTEM,380,0,0,N,N
1,1,NPU,23,TH6_NIF,5,6,1,N,N,1,24,XPHY,0,AGERA3_SYSTEM,381,2,2,N,N
1,1,NPU,23,TH6_NIF,6,4,2,Y,Y,1,24,XPHY,0,AGERA3_SYSTEM,382,4,4,N,N
1,1,NPU,23,TH6_NIF,7,7,3,Y,Y,1,24,XPHY,0,AGERA3_SYSTEM,383,6,6,N,N
1,1,NPU,22,TH6_NIF,0,3,5,Y,Y,1,23,XPHY,0,AGERA3_SYSTEM,360,1,1,N,Y
1,1,NPU,22,TH6_NIF,1,2,6,N,N,1,23,XPHY,0,AGERA3_SYSTEM,361,3,3,N,Y
1,1,NPU,22,TH6_NIF,2,0,4,N,N,1,23,XPHY,0,AGERA3_SYSTEM,362,5,5,N,Y
1,1,NPU,22,TH6_NIF,3,1,7,Y,N,1,23,XPHY,0,AGERA3_SYSTEM,363,7,7,N,Y
1,1,NPU,22,TH6_NIF,4,5,0,N,N,1,23,XPHY,0,AGERA3_SYSTEM,364,0,0,N,N
1,1,NPU,22,TH6_NIF,5,6,1,N,N,1,23,XPHY,0,AGERA3_SYSTEM,365,2,2,N,N
1,1,NPU,22,TH6_NIF,6,4,2,Y,Y,1,23,XPHY,0,AGERA3_SYSTEM,366,4,4,N,N
1,1,NPU,22,TH6_NIF,7,7,3,Y,Y,1,23,XPHY,0,AGERA3_SYSTEM,367,6,6,N,N
1,1,NPU,21,TH6_NIF,0,3,5,Y,Y,1,22,XPHY,0,AGERA3_SYSTEM,344,1,1,N,Y
1,1,NPU,21,TH6_NIF,1,2,6,N,N,1,22,XPHY,0,AGERA3_SYSTEM,345,3,3,N,Y
1,1,NPU,21,TH6_NIF,2,0,4,N,N,1,22,XPHY,0,AGERA3_SYSTEM,346,5,5,N,Y
1,1,NPU,21,TH6_NIF,3,1,7,Y,N,1,22,XPHY,0,AGERA3_SYSTEM,347,7,7,N,Y
1,1,NPU,21,TH6_NIF,4,5,0,N,N,1,22,XPHY,0,AGERA3_SYSTEM,348,0,0,N,N
1,1,NPU,21,TH6_NIF,5,6,1,N,N,1,22,XPHY,0,AGERA3_SYSTEM,349,2,2,N,N
1,1,NPU,21,TH6_NIF,6,4,2,Y,Y,1,22,XPHY,0,AGERA3_SYSTEM,350,4,4,N,N
1,1,NPU,21,TH6_NIF,7,7,3,Y,Y,1,22,XPHY,0,AGERA3_SYSTEM,351,6,6,N,N
1,1,NPU,20,TH6_NIF,0,3,4,N,N,1,21,XPHY,0,AGERA3_SYSTEM,328,1,1,N,Y
1,1,NPU,20,TH6_NIF,1,0,7,N,N,1,21,XPHY,0,AGERA3_SYSTEM,329,3,3,N,Y
1,1,NPU,20,TH6_NIF,2,2,5,Y,N,1,21,XPHY,0,AGERA3_SYSTEM,330,5,5,N,Y
1,1,NPU,20,TH6_NIF,3,1,6,Y,Y,1,21,XPHY,0,AGERA3_SYSTEM,331,7,7,N,Y
1,1,NPU,20,TH6_NIF,4,6,0,N,N,1,21,XPHY,0,AGERA3_SYSTEM,332,0,0,N,N
1,1,NPU,20,TH6_NIF,5,5,3,N,Y,1,21,XPHY,0,AGERA3_SYSTEM,333,2,2,N,N
1,1,NPU,20,TH6_NIF,6,7,1,Y,Y,1,21,XPHY,0,AGERA3_SYSTEM,334,4,4,N,N
1,1,NPU,20,TH6_NIF,7,4,2,Y,Y,1,21,XPHY,0,AGERA3_SYSTEM,335,6,6,N,N
1,1,NPU,24,TH6_NIF,0,0,7,N,Y,1,25,XPHY,0,AGERA3_SYSTEM,392,1,1,N,Y
1,1,NPU,24,TH6_NIF,1,3,4,N,N,1,25,XPHY,0,AGERA3_SYSTEM,393,3,3,N,Y
1,1,NPU,24,TH6_NIF,2,1,6,Y,Y,1,25,XPHY,0,AGERA3_SYSTEM,394,5,5,N,Y
1,1,NPU,24,TH6_NIF,3,2,5,Y,N,1,25,XPHY,0,AGERA3_SYSTEM,395,7,7,N,Y
1,1,NPU,24,TH6_NIF,4,5,3,N,N,1,25,XPHY,0,AGERA3_SYSTEM,396,0,0,N,N
1,1,NPU,24,TH6_NIF,5,6,0,N,N,1,25,XPHY,0,AGERA3_SYSTEM,397,2,2,N,N
1,1,NPU,24,TH6_NIF,6,4,2,Y,Y,1,25,XPHY,0,AGERA3_SYSTEM,398,4,4,N,N
1,1,NPU,24,TH6_NIF,7,7,1,Y,Y,1,25,XPHY,0,AGERA3_SYSTEM,399,6,6,N,N
1,1,NPU,25,TH6_NIF,0,3,7,N,N,1,26,XPHY,0,AGERA3_SYSTEM,408,1,1,N,Y
1,1,NPU,25,TH6_NIF,1,2,5,Y,Y,1,26,XPHY,0,AGERA3_SYSTEM,409,3,3,N,Y
1,1,NPU,25,TH6_NIF,2,1,6,Y,N,1,26,XPHY,0,AGERA3_SYSTEM,410,5,5,N,Y
1,1,NPU,25,TH6_NIF,3,0,4,Y,N,1,26,XPHY,0,AGERA3_SYSTEM,411,7,7,N,Y
1,1,NPU,25,TH6_NIF,4,6,0,N,Y,1,26,XPHY,0,AGERA3_SYSTEM,412,0,0,N,N
1,1,NPU,25,TH6_NIF,5,5,2,N,Y,1,26,XPHY,0,AGERA3_SYSTEM,413,2,2,N,N
1,1,NPU,25,TH6_NIF,6,7,1,Y,N,1,26,XPHY,0,AGERA3_SYSTEM,414,4,4,N,N
1,1,NPU,25,TH6_NIF,7,4,3,Y,N,1,26,XPHY,0,AGERA3_SYSTEM,415,6,6,N,N
1,1,NPU,26,TH6_NIF,0,3,7,N,N,1,27,XPHY,0,AGERA3_SYSTEM,424,1,1,N,Y
1,1,NPU,26,TH6_NIF,1,2,5,Y,Y,1,27,XPHY,0,AGERA3_SYSTEM,425,3,3,N,Y
1,1,NPU,26,TH6_NIF,2,1,6,Y,N,1,27,XPHY,0,AGERA3_SYSTEM,426,5,5,N,Y
1,1,NPU,26,TH6_NIF,3,0,4,Y,N,1,27,XPHY,0,AGERA3_SYSTEM,427,7,7,N,Y
1,1,NPU,26,TH6_NIF,4,6,0,N,Y,1,27,XPHY,0,AGERA3_SYSTEM,428,0,0,N,N
1,1,NPU,26,TH6_NIF,5,5,2,N,Y,1,27,XPHY,0,AGERA3_SYSTEM,429,2,2,N,N
1,1,NPU,26,TH6_NIF,6,7,1,Y,N,1,27,XPHY,0,AGERA3_SYSTEM,430,4,4,N,N
1,1,NPU,26,TH6_NIF,7,4,3,Y,N,1,27,XPHY,0,AGERA3_SYSTEM,431,6,6,N,N
