TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,1 2 3 4,1,1,CPLD,/run/devmap/xcvrs/xcvr_1/xcvr_reset_1,1,1,/run/devmap/xcvrs/xcvr_1/xcvr_present_1,1,0,1,I2C,/run/devmap/i2c-busses/XCVR_1,1,/sys/class/leds/port1_led1:blue:status,/sys/class/leds/port1_led1:yellow:status
1,5 6 7 8,1,1,CPLD,/run/devmap/xcvrs/xcvr_1/xcvr_reset_1,1,1,/run/devmap/xcvrs/xcvr_1/xcvr_present_1,1,0,1,I2C,/run/devmap/i2c-busses/XCVR_1,2,/sys/class/leds/port1_led2:blue:status,/sys/class/leds/port1_led2:yellow:status
2,1 2 3 4,1,2,CPLD,/run/devmap/xcvrs/xcvr_2/xcvr_reset_2,1,1,/run/devmap/xcvrs/xcvr_2/xcvr_present_2,1,0,2,I2C,/run/devmap/i2c-busses/XCVR_2,3,/sys/class/leds/port2_led1:blue:status,/sys/class/leds/port2_led1:yellow:status
2,5 6 7 8,1,2,CPLD,/run/devmap/xcvrs/xcvr_2/xcvr_reset_2,1,1,/run/devmap/xcvrs/xcvr_2/xcvr_present_2,1,0,2,I2C,/run/devmap/i2c-busses/XCVR_2,4,/sys/class/leds/port2_led2:blue:status,/sys/class/leds/port2_led2:yellow:status
3,1 2 3 4,1,3,CPLD,/run/devmap/xcvrs/xcvr_3/xcvr_reset_3,1,1,/run/devmap/xcvrs/xcvr_3/xcvr_present_3,1,0,3,I2C,/run/devmap/i2c-busses/XCVR_3,5,/sys/class/leds/port3_led1:blue:status,/sys/class/leds/port3_led1:yellow:status
3,5 6 7 8,1,3,CPLD,/run/devmap/xcvrs/xcvr_3/xcvr_reset_3,1,1,/run/devmap/xcvrs/xcvr_3/xcvr_present_3,1,0,3,I2C,/run/devmap/i2c-busses/XCVR_3,6,/sys/class/leds/port3_led2:blue:status,/sys/class/leds/port3_led2:yellow:status
4,1 2 3 4,1,4,CPLD,/run/devmap/xcvrs/xcvr_4/xcvr_reset_4,1,1,/run/devmap/xcvrs/xcvr_4/xcvr_present_4,1,0,4,I2C,/run/devmap/i2c-busses/XCVR_4,7,/sys/class/leds/port4_led1:blue:status,/sys/class/leds/port4_led1:yellow:status
4,5 6 7 8,1,4,CPLD,/run/devmap/xcvrs/xcvr_4/xcvr_reset_4,1,1,/run/devmap/xcvrs/xcvr_4/xcvr_present_4,1,0,4,I2C,/run/devmap/i2c-busses/XCVR_4,8,/sys/class/leds/port4_led2:blue:status,/sys/class/leds/port4_led2:yellow:status
5,1 2 3 4,1,5,CPLD,/run/devmap/xcvrs/xcvr_5/xcvr_reset_5,1,1,/run/devmap/xcvrs/xcvr_5/xcvr_present_5,1,0,5,I2C,/run/devmap/i2c-busses/XCVR_5,9,/sys/class/leds/port5_led1:blue:status,/sys/class/leds/port5_led1:yellow:status
5,5 6 7 8,1,5,CPLD,/run/devmap/xcvrs/xcvr_5/xcvr_reset_5,1,1,/run/devmap/xcvrs/xcvr_5/xcvr_present_5,1,0,5,I2C,/run/devmap/i2c-busses/XCVR_5,10,/sys/class/leds/port5_led2:blue:status,/sys/class/leds/port5_led2:yellow:status
