SLOT_ID,CHIP_ID,CHIP_TYPE,CORE_ID,CORE_TYPE,CORE_LANE,LANE_SPEED(mbps),MEDIA_TYPE,TCVR_VENDOR,NIC_VENDOR,CABLE_LENGTH(m),CUSTOM_RX_8,CUSTOM_RX_45,CUSTOM_RX_30,CUSTOM_RX_31,CUSTOM_RX_29,CUSTOM_RX_33,CUSTOM_RX_34,CUSTOM_RX_32,CUSTOM_RX_35,CUSTOM_RX_36,CUSTOM_RX_37,CUSTOM_RX_38,CUSTOM_RX_39,CUSTOM_RX_40,CUSTOM_RX_44,CUSTOM_RX_42,CUSTOM_TX_1,CUSTOM_TX_7,TX_MAIN,TX_POST1,TX_PRE1,TX_PRE2,TX_PRE3
1,1,NPU,0,G200,15,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,16,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,17,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,18,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,19,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,20,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,21,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,22,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,23,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,24,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,25,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,26,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,27,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,28,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,29,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,30,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,0,G200,31,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,0,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,1,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,2,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,3,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,4,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,5,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,6,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,7,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,8,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,9,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,10,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,11,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,12,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,13,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,14,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,15,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,16,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,17,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,18,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,19,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,20,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,21,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,22,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,23,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,24,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,25,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,26,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,27,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,28,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,29,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,30,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,1,G200,31,100000,COPPER,,,,1,2,2,13,5,2,11,5,-40,4,0,-64,4,0,1,,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,0,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,1,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,2,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,3,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,4,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,5,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,6,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,7,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,8,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,9,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,10,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,11,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,12,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,13,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,14,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,15,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,16,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,17,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,18,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,19,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,20,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,21,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,22,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,23,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,24,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,25,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,26,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,27,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,28,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,29,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,30,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,2,G200,31,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,0,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,1,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,2,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,3,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,4,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,5,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,6,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,7,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,8,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,9,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,10,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,11,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,12,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,13,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,14,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,15,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,16,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,17,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,18,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,19,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,20,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,21,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,22,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,23,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,24,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,25,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,26,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,27,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,28,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,29,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,30,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,3,G200,31,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,0,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,1,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,2,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,3,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,4,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,5,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,6,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,7,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,8,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,9,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,10,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,11,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,12,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,13,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,14,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,15,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,16,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,17,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,18,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,19,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,20,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,21,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,22,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,23,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,24,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,25,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,26,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,27,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,28,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,29,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,30,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,4,G200,31,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,0,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,1,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,2,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,3,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,4,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,5,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,6,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,7,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,8,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,9,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,10,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,11,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,12,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,13,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
1,1,NPU,5,G200,14,100000,COPPER,,,,1,2,,13,5,,11,5,-40,,0,-64,,0,1,0,1,7,44564,-2621,-18350,0,0
