SLOT_ID,CHIP_ID,CHIP_TYPE,CORE_ID,CORE_TYPE,CORE_LANE,LANE_SPEED(mbps),MEDIA_TYPE,TCVR_VENDOR,TCVR_PART_NUM,TCVR_MEDIA,NIC_VENDOR,CABLE_LENGTH(m),TX_PRE3,TX_PRE2,TX_PRE1,TX_MAIN,TX_POST1,TX_POST2,TX_POST3,RX_CTLE_CODE,RX_DSP_MODE,RX_AFE_TRIM
1,1,NPU,0,TH5_NIF,0,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,1,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,2,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,3,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,4,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,5,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,6,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,7,50000,BACKPLANE,,,,,,0,0,-12,144,-8,0,0,,,
1,1,NPU,0,TH5_NIF,0,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,1,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,2,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,3,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,4,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,5,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,6,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,7,100000,BACKPLANE,,,,,,0,4,-32,132,0,0,0,,,
1,1,NPU,0,TH5_NIF,0,100000,COPPER,,,,,,-4,14,-36,112,0,0,0,,,
